,Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Count,Simple_Proportion,Extended_Proportion,Other_Proportion,Too_Noisy_Proportion,Follow,95%_Verify,99%_Verify,Prop_Verify
863,GRB150120B,GRB150120B_627170.png,8,3,17,3,31,0.258,0.097,0.548,0.097,"[14, 5, 17, 0, 1, 5]",Other,None,None
864,GRB150201A,GRB150201A_629302.png,22,23,7,4,56,0.393,0.411,0.125,0.071,"[11, 34, 17, 0, 2, 6]",Extended,None,None
865,GRB150202A,GRB150202A_629547.png,1,3,15,0,19,0.053,0.158,0.789,0.0,"[9, 5, 9, 0, 5, 5]",Other,Other,Other
866,GRB150203A,GRB150203A_629578.png,7,14,26,5,52,0.135,0.269,0.5,0.096,"[10, 11, 31, 0, 4, 9]",Other,None,None
867,GRB150206A,GRB150206A_630019.png,24,13,14,2,53,0.453,0.245,0.264,0.038,"[32, 3, 18, 0, 6, 8]",None,None,None
868,GRB150211A,GRB150211A_630714.png,3,4,15,0,22,0.136,0.182,0.682,0.0,"[10, 5, 11, 0, 1, 1]",Other,Other,None
869,GRB150212A,GRB150212A_630876.png,26,12,3,4,45,0.578,0.267,0.067,0.089,"[0, 40, 3, 0, 0, 4]",None,None,None
870,GRB150213B,GRB150213B_631051.png,6,19,4,25,54,0.111,0.352,0.074,0.463,"[1, 22, 5, 0, 2, 29]",Extended/Too_Noisy,None,None
871,GRB150222A,GRB150222A_632180.png,21,11,11,2,45,0.467,0.244,0.244,0.044,"[20, 18, 6, 0, 5, 7]",None,None,None
872,GRB150301A,GRB150301A_632995.png,12,0,0,1,13,0.923,0.0,0.0,0.077,"[11, 0, 0, 0, 1, 2]",Simple,Simple,Simple
873,GRB150301B,GRB150301B_633180.png,27,23,2,3,55,0.491,0.418,0.036,0.055,"[7, 40, 7, 0, 1, 4]",Extended,None,Simple/Extended
874,GRB150302A,GRB150302A_633237.png,12,10,12,6,40,0.3,0.25,0.3,0.15,"[7, 16, 10, 0, 5, 11]",None,None,None
875,GRB150309A,GRB150309A_634200.png,17,24,8,2,51,0.333,0.471,0.157,0.039,"[21, 19, 12, 0, 2, 4]",Extended,Extended,None
876,GRB150314A,GRB150314A_634795.png,33,15,0,2,50,0.66,0.3,0.0,0.04,"[12, 33, 1, 0, 3, 5]",Simple,None,None
877,GRB150317A,GRB150317A_635148.png,1,6,21,1,29,0.034,0.207,0.724,0.034,"[13, 8, 19, 0, 1, 2]",Other,Other,Other
878,GRB150318A,GRB150318A_635289.png,6,9,22,5,42,0.143,0.214,0.524,0.119,"[16, 4, 25, 0, 2, 7]",Other,None,None
879,GRB150323A,GRB150323A_635887.png,5,3,16,0,24,0.208,0.125,0.667,0.0,"[3, 18, 8, 0, 0, 0]",Other,Other,None
880,GRB150323B,,16,3,27,9,55,0.291,0.055,0.491,0.164,"[8, 10, 3, 0, 27, 37]",Other,None,None
881,GRB150323C,GRB150323C_636005.png,5,10,14,15,44,0.114,0.227,0.318,0.341,"[9, 10, 14, 0, 3, 19]",None,None,None
882,GRB150403A,GRB150403A_637044.png,15,2,2,1,20,0.75,0.1,0.1,0.05,"[15, 3, 1, 0, 0, 1]",Simple,None,Simple
883,GRB150413A,GRB150413A_637899.png,10,8,16,5,39,0.256,0.205,0.41,0.128,"[19, 5, 16, 0, 1, 7]",None,None,None
884,GRB150423A,GRB150423A_638808.png,12,0,0,2,14,0.857,0.0,0.0,0.143,"[11, 0, 0, 0, 1, 3]",Simple,Simple,Simple
885,GRB150428A,GRB150428A_639275.png,1,3,12,1,17,0.059,0.176,0.706,0.059,"[6, 1, 12, 0, 1, 2]",Other,Other,Other
886,GRB150428B,GRB150428B_639278.png,0,2,9,1,12,0.0,0.167,0.75,0.083,"[6, 6, 7, 0, 0, 1]",Other,Other,Other
887,GRB150430A,GRB150430A_639433.png,2,25,26,5,58,0.034,0.431,0.448,0.086,"[28, 8, 29, 0, 1, 6]",Extended,None,Extended/Other
888,GRB150513A,GRB150513A_640584.png,0,2,16,1,19,0.0,0.105,0.842,0.053,"[14, 6, 10, 0, 1, 2]",Other,Other,Other
889,GRB150527A,GRB150527A_641698.png,1,6,17,1,25,0.04,0.24,0.68,0.04,"[11, 3, 15, 0, 3, 4]",Other,Other,None
890,GRB150530A,GRB150530A_642018.png,12,0,1,0,13,0.923,0.0,0.077,0.0,"[11, 0, 2, 0, 0, 0]",Simple,Simple,Simple
891,GRB150607A,GRB150607A_642620.png,0,3,20,0,23,0.0,0.13,0.87,0.0,"[10, 8, 13, 0, 2, 3]",Other,Other,Other
892,GRB150615A,GRB150615A_643833.png,9,16,8,6,39,0.231,0.41,0.205,0.154,"[3, 23, 15, 0, 0, 6]",Extended,None,None
893,GRB150616A,GRB150616A_644259.png,10,21,14,6,51,0.196,0.412,0.275,0.118,"[20, 9, 20, 0, 2, 10]",Extended,None,None
894,GRB150626A,GRB150626A_646603.png,19,25,6,4,54,0.352,0.463,0.111,0.074,"[8, 39, 8, 0, 2, 7]",Extended,Extended,None
895,GRB150626B,GRB150626B_646786.png,15,4,2,0,21,0.714,0.19,0.095,0.0,"[12, 4, 4, 0, 1, 1]",Simple,None,Simple
896,GRB150710A,GRB150710A_648437.png,14,0,1,0,15,0.933,0.0,0.067,0.0,"[15, 0, 0, 0, 0, 0]",Simple,Simple,Simple
897,GRB150711A,GRB150711A_648601.png,23,7,15,3,48,0.479,0.146,0.312,0.062,"[33, 6, 19, 0, 1, 4]",None,None,None
898,GRB150716A,GRB150716A_649157.png,18,16,7,2,43,0.419,0.372,0.163,0.047,"[6, 33, 7, 0, 1, 4]",Extended,None,None
899,GRB150720A,GRB150720A_649706.png,1,0,4,17,22,0.045,0.0,0.182,0.773,"[2, 1, 2, 0, 2, 19]",Too_Noisy,Too_Noisy,Too_Noisy
