Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Follow
GRB070721B,GRB070721B_285654.png,4,18,22,5,"[23, 23, 19, 0, 2, 7]"
GRB070724A,GRB070724A_285948.png,13,0,1,0,"[13, 1, 0, 0, 1, 1]"
GRB070729,GRB070729_286373.png,12,0,0,0,"[11, 0, 0, 0, 2, 2]"
GRB070731,GRB070731_286574.png,17,0,0,0,"[12, 1, 2, 0, 3, 3]"
GRB070802,GRB070802_286809.png,9,17,11,10,"[10, 11, 14, 0, 3, 15]"
GRB070805,GRB070805_287088.png,6,20,18,8,"[11, 14, 24, 0, 6, 14]"
GRB070808,GRB070808_287260.png,19,25,0,4,"[4, 34, 9, 0, 0, 4]"
GRB070809,GRB070809_287344.png,19,0,0,0,"[17, 1, 2, 0, 1, 1]"
GRB070810A,GRB070810A_287364.png,19,4,2,0,"[8, 13, 1, 0, 3, 4]"
GRB070810B,GRB070810B_287409.png,17,1,13,13,"[11, 2, 2, 0, 15, 28]"
GRB070911,GRB070911_290624.png,6,10,26,4,"[16, 7, 29, 0, 1, 5]"
GRB070913,GRB070913_290843.png,11,0,0,0,"[10, 0, 0, 0, 1, 1]"
GRB070917,GRB070917_291292.png,21,15,4,0,"[5, 30, 2, 0, 1, 2]"
GRB070920A,GRB070920A_291614.png,5,4,18,23,"[8, 4, 16, 0, 2, 27]"
GRB070920B,GRB070920B_291728.png,13,0,2,0,"[13, 0, 2, 0, 1, 1]"
GRB070923,GRB070923_292004.png,21,1,10,9,"[22, 0, 1, 0, 8, 17]"
GRB071001,GRB071001_292826.png,0,4,16,1,"[6, 11, 7, 0, 1, 3]"
GRB071003,GRB071003_292934.png,15,19,13,3,"[13, 26, 20, 0, 3, 6]"
GRB071006,None,4,2,12,2,"[7, 1, 2, 0, 8, 10]"
GRB071008,GRB071008_293587.png,26,11,8,1,"[29, 5, 11, 0, 1, 2]"
GRB071010A,GRB071010A_293707.png,11,3,3,1,"[10, 4, 3, 0, 2, 3]"
GRB071010B,GRB071010B_293795.png,19,4,18,2,"[16, 20, 15, 0, 1, 3]"
GRB071010C,None,5,1,15,3,"[7, 2, 9, 0, 4, 7]"
GRB071011,GRB071011_293924.png,1,3,12,1,"[3, 9, 7, 0, 0, 1]"
GRB071013,GRB071013_294120.png,4,10,5,20,"[3, 10, 7, 0, 2, 23]"
GRB071018,GRB071018_294645.png,0,0,0,13,"[0, 0, 0, 0, 0, 13]"
GRB071020,GRB071020_294835.png,27,7,9,2,"[19, 18, 9, 0, 5, 7]"
GRB071021,GRB071021_294974.png,21,8,7,7,"[24, 3, 8, 0, 4, 14]"
GRB071025,GRB071025_295301.png,10,19,8,5,"[15, 15, 10, 0, 0, 6]"
GRB071028A,GRB071028A_295527.png,4,3,12,27,"[4, 1, 11, 0, 5, 33]"
GRB071028B,None,1,3,14,2,"[5, 2, 6, 0, 5, 8]"
GRB071031,GRB071031_295670.png,6,14,11,16,"[13, 13, 15, 0, 3, 21]"
GRB071101,GRB071101_295779.png,12,0,0,0,"[8, 3, 1, 0, 1, 1]"
GRB071112B,GRB071112B_296503.png,18,0,0,2,"[9, 5, 1, 0, 3, 6]"
GRB071117,GRB071117_296805.png,21,7,1,1,"[6, 18, 3, 0, 2, 3]"
GRB071118,GRB071118_296856.png,0,0,0,13,"[0, 0, 0, 0, 0, 13]"
GRB071122,GRB071122_297114.png,2,3,10,31,"[2, 2, 10, 0, 3, 34]"
GRB071129,GRB071129_297628.png,6,23,7,12,"[7, 17, 13, 0, 3, 19]"
GRB071227,GRB071227_299787.png,22,24,4,3,"[28, 5, 9, 0, 6, 11]"
GRB080123,GRB080123_301578.png,3,7,13,28,"[3, 7, 3, 0, 5, 36]"
GRB080129,GRB080129_301981.png,6,3,10,36,"[7, 3, 11, 0, 1, 38]"
GRB080205,GRB080205_302506.png,0,4,12,1,"[10, 2, 11, 0, 0, 1]"
GRB080207,GRB080207_302728.png,6,8,19,13,"[19, 3, 17, 0, 3, 18]"
GRB080210,GRB080210_302888.png,16,14,19,4,"[22, 6, 30, 0, 1, 5]"
GRB080212,GRB080212_303105.png,0,4,12,4,"[5, 1, 11, 0, 1, 6]"
GRB080218A,GRB080218A_303609.png,3,6,23,17,"[12, 8, 16, 0, 1, 19]"
GRB080218B,GRB080218B_303631.png,12,3,2,0,"[8, 8, 1, 0, 0, 0]"
GRB080229A,GRB080229A_304379.png,2,4,17,1,"[17, 6, 13, 0, 0, 1]"
GRB080303,GRB080303_304549.png,6,13,2,3,"[3, 17, 5, 0, 1, 4]"
GRB080307,GRB080307_305011.png,10,16,4,9,"[1, 23, 9, 0, 2, 11]"
GRB080310,GRB080310_305288.png,11,15,11,6,"[19, 6, 17, 0, 2, 9]"
GRB080319A,GRB080319A_306754.png,3,13,28,5,"[9, 24, 28, 0, 2, 7]"
GRB080319B,GRB080319B_306757.png,15,18,11,3,"[18, 17, 15, 0, 1, 4]"
GRB080319C,GRB080319C_306778.png,14,25,15,3,"[7, 33, 26, 0, 1, 4]"
GRB080319D,GRB080319D_306793.png,4,1,15,21,"[7, 0, 9, 0, 8, 29]"
GRB080320,GRB080320_306858.png,18,18,9,4,"[14, 25, 10, 0, 2, 7]"
GRB080325,GRB080325_307604.png,4,5,10,26,"[7, 7, 10, 0, 1, 29]"
GRB080328,GRB080328_307931.png,1,16,23,4,"[16, 11, 28, 0, 2, 6]"
GRB080330,GRB080330_308041.png,7,23,14,8,"[10, 21, 17, 0, 2, 12]"
GRB080409,GRB080409_308812.png,3,2,13,0,"[13, 7, 2, 0, 1, 1]"
GRB080411,GRB080411_309010.png,0,2,13,0,"[6, 8, 9, 0, 0, 0]"
GRB080413A,GRB080413A_309096.png,2,2,15,1,"[9, 4, 9, 0, 2, 3]"
GRB080413B,GRB080413B_309111.png,24,15,0,3,"[8, 32, 3, 0, 0, 3]"
GRB080426,GRB080426_310219.png,11,1,0,0,"[6, 5, 0, 0, 1, 1]"
GRB080430,GRB080430_310613.png,25,17,1,1,"[4, 37, 4, 0, 0, 1]"
GRB080503,GRB080503_310785.png,6,18,10,6,"[10, 18, 19, 0, 1, 7]"
